"category","feature_name","source","definition"
"price_behavior","weekly_spot_return_min","NK225.IDX","本周日收益率最小值，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_p10","NK225.IDX","本周日收益率10分位，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_p25","NK225.IDX","本周日收益率25分位，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_p50","NK225.IDX","本周日收益率中位数，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_p75","NK225.IDX","本周日收益率75分位，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_p90","NK225.IDX","本周日收益率90分位，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_return_max","NK225.IDX","本周日收益率最大值，来自 NK225.IDX 价格"
"price_behavior","weekly_spot_close_position","NK225.IDX","本周收盘在本周高低区间的位置，0低位、1高位"
"price_behavior","weekly_spot_drawdown","NK225.IDX","本周内高点到低点的回撤幅度"
"price_behavior","weekly_spot_rebound","NK225.IDX","本周收盘相对本周低点到高点区间的位置"
"price_behavior","weekly_price_position_52w","NK225.IDX","当前周收盘在过去52周收盘高低区间的位置，0低位、1高位"
"volume_behavior","weekly_volume_ratio_4w","NK225_VOL.YFINANCE","当前周成交量 / 过去4周平均成交量"
"volume_behavior","weekly_volume_ratio_13w","NK225_VOL.YFINANCE","当前周成交量 / 过去13周平均成交量"
"volume_behavior","weekly_volume_ratio_26w","NK225_VOL.YFINANCE","当前周成交量 / 过去26周平均成交量"
"volume_behavior","weekly_volume_ratio_52w","NK225_VOL.YFINANCE","当前周成交量 / 过去52周平均成交量"
"volume_behavior","weekly_up_day_volume_share","NK225_VOL.YFINANCE","本周上涨日成交量 / 本周总成交量"
"volume_behavior","weekly_down_day_volume_share","NK225_VOL.YFINANCE","本周下跌日成交量 / 本周总成交量"
"volume_price_behavior","weekly_volume_price_confirmation","NK225.IDX + NK225_VOL.YFINANCE","价格周涨跌方向 + 4周放量确认：涨且放量=1，跌且放量=-1，否则0"
"volume_price_behavior","weekly_volume_accumulation_26w","NK225.IDX + NK225_VOL.YFINANCE","max(0, 26周量比-1) * (1 - 52周价格位置)，半年低位放量吸筹强度"
"volume_price_behavior","weekly_volume_accumulation_52w","NK225.IDX + NK225_VOL.YFINANCE","max(0, 52周量比-1) * (1 - 52周价格位置)，一年低位放量埋线强度"
"volume_price_behavior","weekly_high_volume_low_price_signal","NK225.IDX + NK225_VOL.YFINANCE","52周量比>=1.10 且 52周价格位置<=0.40 时为1"
"volume_price_behavior","weekly_high_volume_breakout_signal","NK225.IDX + NK225_VOL.YFINANCE","52周量比>=1.10 且 52周价格位置>=0.80 时为1"
